"URXTRS.Code.or.Value","URXTRS.Value.Description","URXTRS.Count","URXTRS.Cumulative","URXTRS.Skip.to.Item"
"1.63 to 5890","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
