"RIANSMP.Code.or.Value","RIANSMP.Value.Description","RIANSMP.Count","RIANSMP.Cumulative","RIANSMP.Skip.to.Item"
"3 to 8","Range of Values",264,264,NA
".","Missing",0,264,NA
