"DSXAF1LD.Code.or.Value","DSXAF1LD.Value.Description","DSXAF1LD.Count","DSXAF1LD.Cumulative","DSXAF1LD.Skip.to.Item"
"803.49 to 3750","Range of Values",1548,1548,NA
".","Missing",7892,9440,NA
