"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"522.7 to 1104.5","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
