"AUQ170.Code.or.Value","AUQ170.Value.Description","AUQ170.Count","AUQ170.Cumulative","AUQ170.Skip.to.Item"
"1","Yes",58,58,""
"2","No",62,120,"AUQ190"
"7","Refused",0,120,"AUQ190"
"9","Don't know",0,120,"AUQ190"
".","Missing",9525,9645,""
