"SMQ690C.Code.or.Value","SMQ690C.Value.Description","SMQ690C.Count","SMQ690C.Cumulative","SMQ690C.Skip.to.Item"
"3","Cigars or little cigars or cigarilllos",169,169,NA
".","Missing",6575,6744,NA
