"DXXPT32X.Code.or.Value","DXXPT32X.Value.Description","DXXPT32X.Count","DXXPT32X.Cumulative","DXXPT32X.Skip.to.Item"
"69.6 to 624.6","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
