"VTQ200A.Code.or.Value","VTQ200A.Value.Description","VTQ200A.Count","VTQ200A.Cumulative","VTQ200A.Skip.to.Item"
"1","Yes",901,901,NA
"2","No",1818,2719,NA
"7","Refused",0,2719,NA
"9","Don't know",16,2735,NA
".","Missing",712,3447,NA
