"DR2TM201.Code.or.Value","DR2TM201.Value.Description","DR2TM201.Count","DR2TM201.Cumulative","DR2TM201.Skip.to.Item"
"0 to 3.409","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
