"LBXALC.Code.or.Value","LBXALC.Value.Description","LBXALC.Count","LBXALC.Cumulative","LBXALC.Skip.to.Item"
"0.7 to 190.6","Range of Values",7614,7614,NA
"0.49","Fill Value of Limit of Detection",745,8359,NA
".","Missing",903,9262,NA
