"URXUPT.Code.or.Value","URXUPT.Value.Description","URXUPT.Count","URXUPT.Cumulative","URXUPT.Skip.to.Item"
"0.006 to 7.13","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
