"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"0.007 to 0.361","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
