"URXCOTT.Code.or.Value","URXCOTT.Value.Description","URXCOTT.Count","URXCOTT.Cumulative","URXCOTT.Skip.to.Item"
"0.021 to 21100","Range of Values",2971,2971,NA
".","Missing",308,3279,NA
