"DXXLABMC.Code.or.Value","DXXLABMC.Value.Description","DXXLABMC.Count","DXXLABMC.Cumulative","DXXLABMC.Skip.to.Item"
"25.39 to 408.54","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
