"DXXPT85Y.Code.or.Value","DXXPT85Y.Value.Description","DXXPT85Y.Count","DXXPT85Y.Cumulative","DXXPT85Y.Skip.to.Item"
"66.1 to 250.8","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
