"HCQ230.Code.or.Value","HCQ230.Value.Description","HCQ230.Count","HCQ230.Cumulative","HCQ230.Skip.to.Item"
"1","True",14,14,NA
"2","False",2,16,NA
"7","Refused",0,16,NA
"9","Don't know",16,32,NA
".","Missing",84,116,NA
