"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.08 to 19.23","Range of Values",2521,2521,NA
".","Missing",84,2605,NA
