"DR1ISUGR.Code.or.Value","DR1ISUGR.Value.Description","DR1ISUGR.Count","DR1ISUGR.Cumulative","DR1ISUGR.Skip.to.Item"
"0 to 882.65","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
