"AUXLR136.Code.or.Value","AUXLR136.Value.Description","AUXLR136.Count","AUXLR136.Cumulative","AUXLR136.Skip.to.Item"
"-77 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
