"DXXLLA.Code.or.Value","DXXLLA.Value.Description","DXXLLA.Count","DXXLLA.Cumulative","DXXLLA.Skip.to.Item"
"157.46 to 543.85","Range of Values",5299,5299,NA
".","Missing",734,6033,NA
