"DXXSQSCR.Code.or.Value","DXXSQSCR.Value.Description","DXXSQSCR.Count","DXXSQSCR.Cumulative","DXXSQSCR.Skip.to.Item"
"0 to 3","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
