"CBQ695c.Code.or.Value","CBQ695c.Value.Description","CBQ695c.Count","CBQ695c.Cumulative","CBQ695c.Skip.to.Item"
"3","Something that makes it easier to compare foods",442,442,NA
".","Missing",1603,2045,NA
