"URXNMOR.Code.or.Value","URXNMOR.Value.Description","URXNMOR.Count","URXNMOR.Cumulative","URXNMOR.Skip.to.Item"
"5.54 to 115","Range of Values",2384,2384,NA
".","Missing",371,2755,NA
