"WTSPH26.Code.or.Value","WTSPH26.Value.Description","WTSPH26.Count","WTSPH26.Cumulative","WTSPH26.Skip.to.Item"
"0.0000000 to 777322.1659800","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
