"DXXPT79Y.Code.or.Value","DXXPT79Y.Value.Description","DXXPT79Y.Count","DXXPT79Y.Cumulative","DXXPT79Y.Skip.to.Item"
"103.1 to 294.5","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
