"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"13 to 4233","Range of Values",3146,3146,NA
".","Missing",183,3329,NA
