"WBXA022.Code.or.Value","WBXA022.Value.Description","WBXA022.Count","WBXA022.Cumulative","WBXA022.Skip.to.Item"
"-3.2961 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
