"URXCOXT.Code.or.Value","URXCOXT.Value.Description","URXCOXT.Count","URXCOXT.Cumulative","URXCOXT.Skip.to.Item"
"1.43 to 3280","Range of Values",1119,1119,NA
".","Missing",1486,2605,NA
