"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"7427.533182 to 928802.19042","Range of Values",2866,2866,NA
"0","No Lab Result",306,3172,NA
".","Missing",0,3172,NA
