"DUQ270Q.Code.or.Value","DUQ270Q.Value.Description","DUQ270Q.Count","DUQ270Q.Cumulative","DUQ270Q.Skip.to.Item"
"0 to 60","Range of Values",681,681,NA
"7777","Refused",1,682,NA
"9999","Don't know",3,685,NA
".","Missing",4617,5302,NA
