"DSQTLYCO.Code.or.Value","DSQTLYCO.Value.Description","DSQTLYCO.Count","DSQTLYCO.Cumulative","DSQTLYCO.Skip.to.Item"
"10 to 23000","Range of Values",683,683,NA
".","Missing",9492,10175,NA
