"DXXPT81Y.Code.or.Value","DXXPT81Y.Value.Description","DXXPT81Y.Count","DXXPT81Y.Cumulative","DXXPT81Y.Skip.to.Item"
"49.2 to 293.5","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
