"DS1IKCAL.Code.or.Value","DS1IKCAL.Value.Description","DS1IKCAL.Count","DS1IKCAL.Cumulative","DS1IKCAL.Skip.to.Item"
"1 to 510","Range of Values",1600,1600,NA
".","Missing",4094,5694,NA
