"CIQP15.Code.or.Value","CIQP15.Value.Description","CIQP15.Count","CIQP15.Cumulative","CIQP15.Skip.to.Item"
"1","Yes",42,42,""
"2","Sometimes",8,50,""
"3","No",42,92,"CIDPSCOR"
"7","Refused",0,92,""
"9","Don't know",2,94,""
".","Missing",684,778,""
