"DIQ230.Code.or.Value","DIQ230.Value.Description","DIQ230.Count","DIQ230.Cumulative","DIQ230.Skip.to.Item"
"1","1 year ago or less",291,291,NA
"2","More than 1 year ago but no more than 2 years ago",53,344,NA
"3","More than 2 years ago but no more than 5 years ago",72,416,NA
"4","More than 5 years ago",69,485,NA
"5","Never",221,706,NA
"7","Refused",0,706,NA
"9","Don't know",2,708,NA
".","Missing",8656,9364,NA
