"DS2TKCAL.Code.or.Value","DS2TKCAL.Value.Description","DS2TKCAL.Count","DS2TKCAL.Cumulative","DS2TKCAL.Skip.to.Item"
"1 to 480","Range of Values",1139,1139,NA
".","Missing",8405,9544,NA
