"OSQ120c.Code.or.Value","OSQ120c.Value.Description","OSQ120c.Count","OSQ120c.Cumulative","OSQ120c.Skip.to.Item"
"1","Yes",44,44,""
"2","No",36,80,"OSQ060"
"7","Refused",0,80,"OSQ060"
"9","Don't know",0,80,"OSQ060"
".","Missing",4899,4979,""
