"RHQ510.Code.or.Value","RHQ510.Value.Description","RHQ510.Count","RHQ510.Cumulative","RHQ510.Skip.to.Item"
"1","Yes",395,395,""
"2","No",2819,3214,"RHQ535"
"7","Refused",1,3215,"RHQ535"
"9","Don't know",0,3215,"RHQ535"
".","Missing",530,3745,""
