"DS2IPFAT.Code.or.Value","DS2IPFAT.Value.Description","DS2IPFAT.Count","DS2IPFAT.Cumulative","DS2IPFAT.Skip.to.Item"
"0.075 to 10","Range of Values",252,252,NA
".","Missing",5274,5526,NA
