"CIQG12.Code.or.Value","CIQG12.Value.Description","CIQG12.Count","CIQG12.Cumulative","CIQG12.Skip.to.Item"
"1","Yes",10,10,"CIDGSCOR"
"2","No",118,128,""
".","Missing",650,778,""
