"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"3231.373272 to 260999.05687","Range of Values",2045,2045,NA
".","Missing",0,2045,NA
