"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.42 to 8.91","Range of Values",2588,2588,NA
".","Missing",104,2692,NA
