"LBDBFOAL.Code.or.Value","LBDBFOAL.Value.Description","LBDBFOAL.Count","LBDBFOAL.Cumulative","LBDBFOAL.Skip.to.Item"
"0","At or above the detection limit",40,40,NA
"1","Below lower detection limit",1953,1993,NA
".","Missing",177,2170,NA
