"DXAFMRK.Code.or.Value","DXAFMRK.Value.Description","DXAFMRK.Count","DXAFMRK.Cumulative","DXAFMRK.Skip.to.Item"
"1.1175 to 1.1557","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
