"LBC123LA.Code.or.Value","LBC123LA.Value.Description","LBC123LA.Count","LBC123LA.Cumulative","LBC123LA.Skip.to.Item"
"0.1 to 2.1","Range of Values",264,264,NA
".","Missing",0,264,NA
