"BIXC500K.Code.or.Value","BIXC500K.Value.Description","BIXC500K.Count","BIXC500K.Cumulative","BIXC500K.Skip.to.Item"
"13.06 to 139.31","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
