"AUXRR261.Code.or.Value","AUXRR261.Value.Description","AUXRR261.Count","AUXRR261.Cumulative","AUXRR261.Skip.to.Item"
"-15 to 91","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
