"SSQ021G.Code.or.Value","SSQ021G.Value.Description","SSQ021G.Count","SSQ021G.Cumulative","SSQ021G.Skip.to.Item"
"16","Neighbors",29,29,NA
".","Missing",3027,3056,NA
