"DRD370MQ.Code.or.Value","DRD370MQ.Value.Description","DRD370MQ.Count","DRD370MQ.Cumulative","DRD370MQ.Skip.to.Item"
"1 to 15","Range of Values",367,367,NA
".","Missing",10110,10477,NA
