"URDHCTLC.Code.or.Value","URDHCTLC.Value.Description","URDHCTLC.Count","URDHCTLC.Cumulative","URDHCTLC.Skip.to.Item"
"0","At or above detection limit",2919,2919,NA
"1","Below lower detection limit",52,2971,NA
".","Missing",308,3279,NA
