"DXXSQSCR.Code.or.Value","DXXSQSCR.Value.Description","DXXSQSCR.Count","DXXSQSCR.Cumulative","DXXSQSCR.Skip.to.Item"
"0 to 2","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
