"AUDTYR42.Code.or.Value","AUDTYR42.Value.Description","AUDTYR42.Count","AUDTYR42.Cumulative","AUDTYR42.Skip.to.Item"
"0 to 3","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
