"TYXP055.Code.or.Value","TYXP055.Value.Description","TYXP055.Count","TYXP055.Cumulative","TYXP055.Skip.to.Item"
"-128 to 148","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
