"AUXLR128.Code.or.Value","AUXLR128.Value.Description","AUXLR128.Count","AUXLR128.Cumulative","AUXLR128.Skip.to.Item"
"-25 to 78","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
