"WHQ550.Code.or.Value","WHQ550.Value.Description","WHQ550.Count","WHQ550.Cumulative","WHQ550.Skip.to.Item"
"1","never,",189,189,NA
"2","sometimes, or",415,604,NA
"3","a lot?",86,690,NA
"7","Refused",0,690,NA
"9","Don't know",5,695,NA
".","Missing",732,1427,NA
