"HID030A.Code.or.Value","HID030A.Value.Description","HID030A.Count","HID030A.Cumulative","HID030A.Skip.to.Item"
"1","Yes",5215,5215,NA
"2","No",2444,7659,NA
"7","Refused",17,7676,NA
"9","Don't know",60,7736,NA
".","Missing",2229,9965,NA
