"LB2MONO.Code.or.Value","LB2MONO.Value.Description","LB2MONO.Count","LB2MONO.Cumulative","LB2MONO.Skip.to.Item"
"0.1 to 1.5","Range of Values",551,551,NA
".","Missing",6,557,NA
