"DR2TVB6.Code.or.Value","DR2TVB6.Value.Description","DR2TVB6.Count","DR2TVB6.Cumulative","DR2TVB6.Skip.to.Item"
"0 to 20.639","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
