"TBDRUIND.Code.or.Value","TBDRUIND.Value.Description","TBDRUIND.Count","TBDRUIND.Cumulative","TBDRUIND.Skip.to.Item"
"0 to 30","Range of Values",6128,6128,NA
".","Missing",1693,7821,NA
