"PAD020.Code.or.Value","PAD020.Value.Description","PAD020.Count","PAD020.Cumulative","PAD020.Skip.to.Item"
"1","Yes",2263,2263,""
"2","No",5278,7541,"PAQ100"
"3","Unable to do activity",238,7779,"PAQ100"
"7","Refused",5,7784,"PAQ100"
"9","Don't know",2,7786,"PAQ100"
".","Missing",2308,10094,""
