"DRD370G.Code.or.Value","DRD370G.Value.Description","DRD370G.Count","DRD370G.Cumulative","DRD370G.Skip.to.Item"
"1","Yes",137,137,""
"2","No",5813,5950,"DRD370H"
".","Missing",4303,10253,""
