"URXMOH.Code.or.Value","URXMOH.Value.Description","URXMOH.Count","URXMOH.Cumulative","URXMOH.Skip.to.Item"
"0.14 to 300.5","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
