"SXD621.Code.or.Value","SXD621.Value.Description","SXD621.Count","SXD621.Cumulative","SXD621.Skip.to.Item"
"13 to 59","Range of Values",1415,1415,NA
"12","12 years or younger",27,1442,NA
"77","Refused",0,1442,NA
"99","Don't know",0,1442,NA
".","Missing",3401,4843,NA
