"AUXLR220.Code.or.Value","AUXLR220.Value.Description","AUXLR220.Count","AUXLR220.Cumulative","AUXLR220.Skip.to.Item"
"-31 to 58","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
